251,Sunyani Airport,Sunyani,Ghana,NYI,DGSN,0,Africa/Accra
252,Takoradi Airport,Takoradi,Ghana,TKD,DGTK,0,Africa/Accra
253,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,0,Africa/Abidjan
255,Daloa Airport,Daloa,Cote d'Ivoire,DJO,DIDL,0,Africa/Abidjan
256,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,DIKO,0,Africa/Abidjan
257,Man Airport,Man,Cote d'Ivoire,MJC,DIMN,0,Africa/Abidjan
258,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,DISP,0,Africa/Abidjan
259,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,0,Africa/Abidjan
260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,1,Africa/Lagos
261,Akure Airport,Akure,Nigeria,AKR,DNAK,1,Africa/Lagos
262,Benin Airport,Benin,Nigeria,BNI,DNBE,1,Africa/Lagos
263,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,1,Africa/Lagos
264,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,1,Africa/Lagos
265,Gusau Airport,Gusau,Nigeria,QUS,DNGU,1,Africa/Lagos
266,Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,1,Africa/Lagos
267,Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,1,Africa/Lagos
268,Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,1,Africa/Lagos
269,Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,1,Africa/Lagos
270,Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,1,Africa/Lagos
271,Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA,1,Africa/Lagos
272,Makurdi Airport,Makurdi,Nigeria,MDI,DNMK,1,Africa/Lagos
273,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,1,Africa/Lagos
274,Minna Airport,Minna,Nigeria,MXJ,DNMN,1,Africa/Lagos
275,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,1,Africa/Lagos
276,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,1,Africa/Lagos
277,Yola Airport,Yola,Nigeria,YOL,DNYO,1,Africa/Lagos
278,Zaria Airport,Zaria,Nigeria,ZAR,DNZA,1,Africa/Lagos
279,Maradi Airport,Maradi,Niger,MFQ,DRRM,1,Africa/Niamey
280,Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,1,Africa/Niamey
281,Tahoua Airport,Tahoua,Niger,THZ,DRRT,1,Africa/Niamey
282,Mano Dayak International Airport,Agadez,Niger,AJY,DRZA,1,Africa/Niamey
285,Zinder Airport,Zinder,Niger,ZND,DRZR,1,Africa/Niamey
286,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,1,Africa/Tunis
287,Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,1,Africa/Tunis
290,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,1,Africa/Tunis
293,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,DTTJ,1,Africa/Tunis
294,El Borma Airport,El Borma,Tunisia,EBM,DTTR,1,Africa/Tunis
295,Sfax Thyna International Airport,Sfax,Tunisia,SFA,DTTX,1,Africa/Tunis
296,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,DTTZ,1,Africa/Tunis
297,Niamtougou International Airport,Niatougou,Togo,LRL,DXNG,0,Africa/Lome
299,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,EBAW,1,Europe/Brussels
302,Brussels Airport,Brussels,Belgium,BRU,EBBR,1,Europe/Brussels
304,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,EBCI,1,Europe/Brussels
308,Wevelgem Airport,Kortrijk-vevelgem,Belgium,QKT,EBKT,1,Europe/Brussels
310,Ostend-Bruges International Airport,Ostend,Belgium,OST,EBOS,1,Europe/Brussels
318,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,EDAC,1,Europe/Berlin
329,Barth Airport,Barth,Germany,BBH,EDBH,1,Europe/Berlin
338,Dresden Airport,Dresden,Germany,DRS,EDDC,1,Europe/Berlin
339,Erfurt Airport,Erfurt,Germany,ERF,EDDE,1,Europe/Berlin
340,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,EDDF,1,Europe/Berlin
342,Hamburg Airport,Hamburg,Germany,HAM,EDDH,1,Europe/Berlin
343,Berlin-Tempelhof International Airport,Berlin,Germany,THF,EDDI,1,Europe/Berlin
344,Cologne Bonn Airport,Cologne,Germany,CGN,EDDK,1,Europe/Berlin
346,Munich International Airport,Munich,Germany,MUC,EDDM,1,Europe/Berlin
347,Nuremberg Airport,Nuernberg,Germany,NUE,EDDN,1,Europe/Berlin
348,Leipzig Halle Airport,Leipzig,Germany,LEJ,EDDP,1,Europe/Berlin
350,Stuttgart Airport,Stuttgart,Germany,STR,EDDS,1,Europe/Berlin
351,Berlin-Tegel International Airport,Berlin,Germany,TXL,EDDT,1,Europe/Berlin
352,Hannover Airport,Hannover,Germany,HAJ,EDDV,1,Europe/Berlin
353,Bremen Airport,Bremen,Germany,BRE,EDDW,1,Europe/Berlin
